(use_descr,lower,punct,prefix,url,mention,use_text,collapse_stop_words)
((True, True, True, 'd=', True, True, True, True), 0.71279999999999999)
((True, True, True, 'd=', True, True, True, False), 0.70889999999999997)
((True, True, True, 'd=', True, True, False, True), 0.70890000000000009)
((True, True, True, 'd=', True, True, False, False), 0.70660000000000001)
((True, True, True, 'd=', True, False, True, True), 0.71509999999999996)
((True, True, True, 'd=', True, False, True, False), 0.71169999999999989)
((True, True, True, 'd=', True, False, False, True), 0.70930000000000004)
((True, True, True, 'd=', True, False, False, False), 0.70750000000000002)
((True, True, True, 'd=', False, True, True, True), 0.71089999999999987)
((True, True, True, 'd=', False, True, True, False), 0.71079999999999999)
((True, True, True, 'd=', False, True, False, True), 0.70870000000000011)
((True, True, True, 'd=', False, True, False, False), 0.70540000000000003)
((True, True, True, 'd=', False, False, True, True), 0.71389999999999998)
((True, True, True, 'd=', False, False, True, False), 0.71330000000000005)
((True, True, True, 'd=', False, False, False, True), 0.71060000000000001)
((True, True, True, 'd=', False, False, False, False), 0.70669999999999999)
((True, True, True, '', True, True, True, True), 0.70579999999999998)
((True, True, True, '', True, True, True, False), 0.70700000000000007)
((True, True, True, '', True, True, False, True), 0.70890000000000009)
((True, True, True, '', True, True, False, False), 0.70660000000000001)
((True, True, True, '', True, False, True, True), 0.71319999999999995)
((True, True, True, '', True, False, True, False), 0.70779999999999998)
((True, True, True, '', True, False, False, True), 0.70930000000000004)
((True, True, True, '', True, False, False, False), 0.70750000000000002)
((True, True, True, '', False, True, True, True), 0.70720000000000005)
((True, True, True, '', False, True, True, False), 0.70699999999999996)
((True, True, True, '', False, True, False, True), 0.70870000000000011)
((True, True, True, '', False, True, False, False), 0.70540000000000003)
((True, True, True, '', False, False, True, True), 0.71330000000000005)
((True, True, True, '', False, False, True, False), 0.71199999999999997)
((True, True, True, '', False, False, False, True), 0.71060000000000001)
((True, True, True, '', False, False, False, False), 0.70669999999999999)
((True, True, False, 'd=', True, True, True, True), 0.70899999999999996)
((True, True, False, 'd=', True, True, True, False), 0.71009999999999995)
((True, True, False, 'd=', True, True, False, True), 0.70950000000000002)
